user_id,following
827,[40]
834,[42]
846,"[41,4298]"
847,[34]
851,[32]
854,"[36,21031]"
855,"[38,30,34,21,32]"
857,"[32,37512,18544,2751]"
858,[34]
863,[34]
865,[41]
868,[32]
871,[32]
873,[22670]
874,"[32,318]"
875,[32]
876,[41]
877,"[30,34]"
881,[41]
882,[32]
883,[32]
884,"[31,41,32,669]"
889,[32]
891,[32]
892,[32]
893,"[32,4298]"
898,[37]
901,[32]
904,"[32,34]"
908,"[4129,40]"
915,[32]
917,"[32,34]"
918,[32]
920,"[12158,32,34,669,41,2751,19023]"
921,"[32,31,33]"
922,"[32,4298]"
923,[32]
924,[32]
925,[32]
926,[32]
927,"[32,34,21,12812,12411,9936]"
928,[32]
929,[32]
930,[32]
931,[32]
934,[32]
935,[32]
937,"[32,37]"
939,[32]
942,[34]
943,[30]
944,[34]
947,"[32,22670]"
952,[36]
954,[40]
955,"[38,34]"
956,[32]
958,[32]
960,"[32,669,3013]"
962,[669]
964,[33]
965,[41]
968,"[21,22670]"
971,"[21,36,2751]"
983,[32]
985,"[19023,22670,32]"
987,"[33,32,669]"
988,"[34,42,31,33]"
991,"[32,21358,22670]"
994,[21]
997,[32]
1000,"[669,2751]"
1002,[32]
1004,"[34,669,20995,4129,37]"
1005,[32]
1008,"[30,31,32,4231,22670]"
1009,[2751]
1010,"[32,30]"
1012,"[32,40]"
1014,[30]
1017,[34]
1022,[3316]
1027,[32]
1028,"[30,19023]"
1031,"[34,32]"
1032,"[37512,32,42208]"
1034,[71]
1035,"[32,36]"
1038,[32]
1041,[34]
1042,"[37,36]"
1047,[34]
1049,[2977]
1052,"[3316,2751,4298]"
1053,[34]
1055,[41]
1056,"[30,32]"
1061,"[22670,33,2977,4231,40,12411,32,8334]"
1062,[36]
1065,[669]
1066,[30]
1067,"[41,32]"
1071,"[30,38,32,145,3316]"
1072,[34]
1075,[32]
1076,[32]
1081,[32]
1082,[32]
1084,[986]
1088,[41]
1093,[19023]
1094,[37]
1095,[41]
1098,"[42,32]"
1099,[38]
1100,[19023]
1105,[32]
1106,[32]
1107,[32]
1113,"[30,2751,669]"
1116,[32]
1121,[30]
1123,"[2751,145]"
1128,[669]
1129,[32]
1130,[32]
1131,[32]
1132,"[40,38]"
1138,[38]
1140,[32]
1143,"[31,30,34,669]"
1144,"[30,32]"
1146,[34]
1148,"[41,32,19023]"
1151,[34]
1152,[41]
1154,"[30,32]"
1155,[32]
1158,[33]
1160,"[40,32]"
1162,"[32,36,318,145,2751,33,31,3316]"
1170,"[318,40]"
1174,"[36,669]"
1177,"[34,669]"
1179,"[37,30,34]"
1180,"[32,34]"
1181,[21771]
1182,"[32,19023]"
1185,[30]
1187,"[669,30]"
1188,"[30,32]"
1193,"[32,46]"
1195,"[3316,669,30,19241,2751,21771,27675,21358,22670]"
1197,"[34,37]"
1198,[450]
1200,[32]
1201,"[32,669,34]"
1206,[34]
1214,"[4231,30,32]"
1218,[42]
1220,[30]
1222,[41]
1224,[21358]
1225,"[21,4231]"
1226,[32]
1227,[32]
1228,"[37,32,41,34,669]"
1229,[32]
1230,[41]
1231,"[32,669]"
1238,[41]
1243,[21]
1244,"[37,32]"
1253,[450]
1255,[32]
1259,[2751]
1262,"[4298,40,3316,22670,32]"
1263,"[34,32]"
1265,[32]
1269,[32]
1271,[42]
1272,[12411]
1275,[40]
1277,[30]
1281,[34]
1283,[36]
1284,[30]
1287,[40]
1289,[32]
1293,[30]
1297,[36]
1300,[22670]
1302,"[32,19023]"
1303,"[12770,34]"
1312,"[32,34]"
1318,[32]
1321,"[34,32,21]"
1322,[32]
1328,[32]
1329,[32]
1331,[32]
1333,"[4298,21,41]"
1334,[41]
1339,"[32,30]"
1342,[36]
1343,"[41,12770]"
1345,"[2751,46,34,22670]"
1350,"[32,34,42]"
1357,"[2751,4231]"
1360,[34]
1362,"[37,669,2751,40,21]"
1368,[32]
1369,[30]
1375,[36]
1379,"[21,31]"
1381,"[30,34,669,4298,19023,32,2751]"
1384,[2751]
1386,"[30,34]"
1390,"[49,986,30,33,32,669,12770]"
1391,[49]
1393,"[2751,4231]"
1394,[33]
1395,"[21,41,669]"
